name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
NYC,2017-08-01T00:00:00,24.5,24.5,17.7,66.16,0,0,,0,0,,4.8,285,1016.8,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T01:00:00,24.4,24.4,19.2,72.79,0,0,,0,0,,4.8,267,1016.8,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T02:00:00,23.9,23.9,18.8,72.78,0,0,,0,0,,7.3,251,1016.6,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T03:00:00,23.9,23.9,18.8,73.25,0,0,,0,0,,8.4,267,1016.5,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T04:00:00,23.4,23.4,19.8,80.2,0,0,,0,0,,6.9,274,1016.5,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T05:00:00,23.8,23.8,19.1,75.07,0,0,,0,0,,0.4,311,1016.8,0,16,0.5,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T06:00:00,23.6,23.6,17.1,66.94,0,0,,0,0,,8.6,20,1016.9,0,16,72.1,0.3,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T07:00:00,23.7,23.7,17.1,66.66,0,0,,0,0,,0.2,15,1017.3,0,16,244.7,0.9,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T08:00:00,24.3,24.3,17.9,67.3,0,0,,0,0,,0.2,19,1017.9,0,16,437.3,1.6,4,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T09:00:00,25.6,25.6,17.8,62.14,0,0,,0,0,,5.7,295,1018.2,0,16,618,2.2,6,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T10:00:00,28.2,29.2,18.3,54.87,0.178,100,rain,0,0,77.8,5.8,57,1017.9,0,16,768,2.8,8,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T11:00:00,29.8,30.3,17.2,46.62,0.446,100,rain,0,0,79.6,8.7,260,1017.9,0,16,874.3,3.1,9,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T12:00:00,29.8,30.2,17,46.16,0,0,,0,0,,6.9,223.1,1017.3,7.2,16,926.5,3.3,9,,Clear,clear-day,"72505394728,KLGA,KNYC,72503014732"
NYC,2017-08-01T13:00:00,31.5,32.2,17.6,43.48,1.071,100,rain,0,0,81.4,10.8,205,1017.3,0.8,16,921.8,3.3,9,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-08-01T14:00:00,31.7,32.8,18.4,45.4,0.892,100,rain,0,0,70.2,12.2,223,1016.9,0.8,16,861.3,3.1,9,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
