name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
NYC,2017-09-01T00:00:00,19.9,19.9,10.5,54.44,0,0,,0,0,,1.5,330,1016.2,37.7,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T01:00:00,18.8,18.8,9.3,54.01,0,0,,0,0,,7.9,320,1016.9,1.5,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T02:00:00,17.8,17.8,8.8,55.84,0,0,,0,0,,9.6,340,1016.9,1.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T03:00:00,17,17,9.9,62.87,0,0,,0,0,,1.7,358,1017.2,1.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T04:00:00,16.6,16.6,8.8,60.17,0,0,,0,0,,7.8,350,1017.6,1.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T05:00:00,15.5,15.5,7.1,57.25,0,0,,0,0,,9.7,350,1018.3,1.4,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T06:00:00,14.9,14.9,6,55.21,0,0,,0,0,,6.2,305,1019,0.8,16,16.4,0.1,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T07:00:00,14.2,14.2,6.9,61.48,0,0,,0,0,,5.8,330,1019.6,0.8,16,167.1,0.6,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T08:00:00,14.8,14.8,8.4,65.27,0,0,,0,0,,11.5,320,1020.3,1.4,16,373.9,1.3,4,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T09:00:00,15.4,15.4,4.9,49.59,0,0,,0,0,,13.1,272,1020.6,1.4,16,569.5,2.1,6,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T10:00:00,18.1,18.1,5.9,44.86,0,0,,0,0,,9.3,320,1020.3,2.6,16,732.8,2.6,7,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T11:00:00,19.7,19.7,5.9,40.29,0,0,,0,0,,7.9,330,1020.9,1,16,845.5,3,8,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T12:00:00,19.9,19.9,4.2,35.53,0.624,100,rain,0,0,27.7,10.7,320,1020.9,0.8,16,903,3.3,9,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T13:00:00,21.4,21.4,4.7,33.64,0.446,100,rain,0,0,71.1,14,288,1020.2,0.8,16,898.5,3.2,9,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T14:00:00,22,22,4.1,30.96,0.624,100,rain,0,0,,14,261,1019.5,1,16,828.5,3,8,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-09-01T15:00:00,23.1,23.1,4.7,30.11,0,0,,0,0,,16,252,1019.6,1.5,16,698.8,2.5,7,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
